antecedents,consequents,antecedent support,consequent support,support,confidence
frozenset({'Mission: Impossible - Fallout'}),frozenset({'Avengers: Infinity War - Part I'}),0.1715024741340531,0.5953666216824112,0.13798920377867746,0.8045901639344262
frozenset({'Mission: Impossible - Fallout'}),frozenset({'Deadpool 2'}),0.1715024741340531,0.4501799370220423,0.11459739091318039,0.6681967213114753
frozenset({'Mission: Impossible - Fallout'}),frozenset({'Ant-Man and the Wasp'}),0.1715024741340531,0.20535312640575798,0.08985605038236617,0.5239344262295081
frozenset({'Mission: Impossible - Fallout'}),frozenset({'Avengers: Infinity War - Part II'}),0.1715024741340531,0.3116284300494827,0.08771929824561403,0.5114754098360655
frozenset({'Mission: Impossible - Fallout'}),frozenset({'Incredibles 2'}),0.1715024741340531,0.3069050832208727,0.08738191632928476,0.5095081967213115
frozenset({'A Star Is Born'}),frozenset({'Avengers: Infinity War - Part I'}),0.11392262708052182,0.5953666216824112,0.0684885290148448,0.6011846001974332
frozenset({'A Star Is Born'}),frozenset({'Bohemian Rhapsody'}),0.11392262708052182,0.23076923076923078,0.07130004498425552,0.6258637709772952
frozenset({'A Star Is Born'}),frozenset({'Deadpool 2'}),0.11392262708052182,0.4501799370220423,0.06005398110661268,0.5271470878578479
frozenset({'Shazam!'}),frozenset({'Avengers: Infinity War - Part I'}),0.07219973009446694,0.5953666216824112,0.06162843004948268,0.8535825545171339
frozenset({'Shazam!'}),frozenset({'Deadpool 2'}),0.07219973009446694,0.4501799370220423,0.05510571300044984,0.7632398753894081
frozenset({'Shazam!'}),frozenset({'Avengers: Infinity War - Part II'}),0.07219973009446694,0.3116284300494827,0.06027890238416554,0.8348909657320872
frozenset({'First Man'}),frozenset({'Avengers: Infinity War - Part I'}),0.07669815564552407,0.5953666216824112,0.052519118308591996,0.68475073313783
frozenset({'Once Upon a Time in Hollywood'}),frozenset({'Avengers: Infinity War - Part I'}),0.09660368870895186,0.5953666216824112,0.05049482681061628,0.5227008149010477
frozenset({'Once Upon a Time in Hollywood'}),frozenset({'Avengers: Infinity War - Part II'}),0.09660368870895186,0.3116284300494827,0.05679262258209627,0.5878928987194413
frozenset({'Once Upon a Time in Hollywood'}),frozenset({'Spider-Man: Into the Spider-Verse'}),0.09660368870895186,0.33468286099865047,0.05105713000449843,0.5285215366705472
frozenset({'John Wick: Chapter 3 â€“ Parabellum'}),frozenset({'Avengers: Infinity War - Part I'}),0.08220872694556905,0.5953666216824112,0.0620782726045884,0.7551299589603284
frozenset({'Alita: Battle Angel'}),frozenset({'Avengers: Infinity War - Part I'}),0.06916329284750337,0.5953666216824112,0.0553306342780027,0.8
frozenset({'Isle of Dogs'}),frozenset({'Avengers: Infinity War - Part I'}),0.2134502923976608,0.5953666216824112,0.1349527665317139,0.6322444678609063
frozenset({'Bohemian Rhapsody'}),frozenset({'Avengers: Infinity War - Part I'}),0.23076923076923078,0.5953666216824112,0.13787674313990103,0.5974658869395711
frozenset({'Glass'}),frozenset({'Avengers: Infinity War - Part I'}),0.06578947368421052,0.5953666216824112,0.05083220872694557,0.7726495726495727
frozenset({'Game Night'}),frozenset({'Avengers: Infinity War - Part I'}),0.14811066126855602,0.5953666216824112,0.10166441745389114,0.686408504176158
frozenset({'Green Book'}),frozenset({'Avengers: Infinity War - Part I'}),0.203778677462888,0.5953666216824112,0.10413855150697256,0.5110375275938189
frozenset({'Joker'}),frozenset({'Avengers: Infinity War - Part I'}),0.08906882591093117,0.5953666216824112,0.051731893837157,0.5808080808080809
frozenset({'Hereditary'}),frozenset({'Avengers: Infinity War - Part I'}),0.1437246963562753,0.5953666216824112,0.08220872694556905,0.5719874804381847
frozenset({'Fantastic Beasts and Where to Find Them 2'}),frozenset({'Avengers: Infinity War - Part I'}),0.09829059829059829,0.5953666216824112,0.07422402159244265,0.7551487414187644
