Mission: Impossible - Fallout,Eighth Grade,A Star Is Born,Shazam!,First Man,Once Upon a Time in Hollywood,Avengers: Infinity War - Part I,John Wick: Chapter 3 â€“ Parabellum,Alita: Battle Angel,Isle of Dogs,"Love, Simon",Bohemian Rhapsody,Red Sparrow,Glass,Game Night,Green Book,Joker,Hereditary,Fantastic Beasts and Where to Find Them 2,Ralph Breaks the Internet,Pacific Rim: Uprising,Won't You Be My Neighbor?,Jurassic World: Fallen Kingdom,Spider-Man: Far from Home,Ocean's 8,Sorry to Bother You,Tomb Raider,Black Mirror: Bandersnatch,Bird Box,Annihilation,Us,Deadpool 2,Upgrade,Crazy Rich Asians,Venom,Solo: A Star Wars Story,Roma,Bad Times at the El Royale,Ant-Man and the Wasp,BlacKkKlansman,Captain Marvel,Searching,A Quiet Place,Avengers: Infinity War - Part II,Aquaman,Free Solo,The Ballad of Buster Scruggs,The Cloverfield Paradox,Incredibles 2,Spider-Man: Into the Spider-Verse
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
